רשות מקומית,סוג מתקן,שם המתקן,שכונה-רובע,רחוב,מספר בית,גוף מפעיל המתקן,טלפון איש קשר,שנת הקמה,משרת בית ספר,X_GEO,Y_GEO
אבו גוש,אולם ספורט בינוני – 32x19 מ',אולם פיס אבו גוש,ליד תיכון אבו גוש,השלום,12,רשות מקומית + מרכז קהילתי אבו גוש,02-5700342,2008,חטיבת ביניים ותיכון אבו גוש,31.81131671,35.10735893
אבו גוש,מגרש ספורט משולב – 43X32 מ',מגרש משולב יסודי מרכז,מרכז,מחמוד רשיד,1,רשות מקומית + מרכז קהילתי אבו גוש +ביה'ס יסודי אבו גוש מרכז,02-5342875,1975,יסודי אבו גוש מרכז,31.80888277,35.10871326
אבו גוש,מגרש ספורט משולב – 43X32 מ',מגרש משולב כדורגל יסודי השלום,עבדאלרחמן,עבדאלרחמן - התמר,1,מועצה מקומית אבו גוש + ביה'ס יסודי השלום,025700342,2010,יסודי השלום,31.80347277,35.11009167
אבו גוש,מגרש כדורסל – 19X32 מ',מגרש משולב כדורגל תיכון,ליד אולם ספורט,השלום,12,רשות מקומית + מרכז קהילתי אבו גוש,02-5700342,1994,חטיבת ביניים ותיכון אבו גוש,31.81117215,35.10701056
אבו גוש,מגרש כדורסל – 19X32 מ',מגרש קטן חטיבת ביניים,,השלום,,רשות מקומית,02-5346975,2005,חטיבת ביניים,31.81165149,35.10881601
אבו סנאן,אולם ספורט קטן – 20x10 מ',אולם התעמלות,מערבית,,,מועצה מקומית אבוסנאן,04-9568805,2001,בית ספר יסודי ב',32.96280743,35.16082816
אבו סנאן,אולם ספורט קטן – 15x24 מ',אולם ספורט,כרם אלרוגמה,,,מועצה מקומית אבוסנאן,04-9568805,1988,,32.96308066,35.16949177
אבו סנאן,בריכת שחיה - 25X12.5 מ',ברכת שחייה,כרם אלרוגמה,,,מועצה מקומית אבוסנאן,04-9568805,1997,,32.96434294,35.16927735
אבו סנאן,מגרש כדורגל – 45X90 מ',מגרש כדוררגל,מערבית,,,מועצה מקומית אבוסנאן,04-9568805,1980,,32.96298754,35.16018631
אבו סנאן,מגרש ספורט משולב – 43X32 מ',מגרש משולב,שכונת החיילים,,,מועצה מקומית אבוסנאן,04-9568805,2002,יסודי ג',32.96100885,35.1777283
אבו סנאן,מגרש מיני פיץ',מני פיץ',כרם אלרוגמה,,,מועצה מקומית אבוסנאן,04-9568805,2006,חט'ב,32.96317101,35.17013349
אבן יהודה,אולם ספורט בינוני – 32x19 מ',אולם בכר,,השומרון,43,מועצת אבן יהודה,09-8915000,1988,בית ספר בכר,32.26339621,34.88554432
אבן יהודה,אולם ספורט קטן – 20x10 מ',אולם ספורט,כפר הנוער הדסים,,,ויצו הדסים,09-8999252,1944,תיכון הדסים,32.28729841,34.88769
אבן יהודה,אולם ספורט בינוני – 32x19 מ',אולם ספורט חדש,,השרון,57,מתנ''ס אבן יהודה,09-8910070,2009,,32.2664514,34.88128827
אבן יהודה,אולם ספורט קטן – 20x10 מ',אולם ספורט חדש,,השרון,57,מתנ''ס אבן יהודה,09-8910070,2009,,32.2664514,34.88128827
אבן יהודה,אולם ספורט בינוני – 32x19 מ',בית ספר אמריקאי,,השומרון,65,בית הספר האמריקאי,09-8901025,2006,בית ספר אמריקאי,32.26455062,34.87853558
אבן יהודה,בריכת שחיה - 20X50 מ',בית ספר אמריקאי,,השומרון,65,בית הספר האמריקאי,09-8901025,2006,בית ספר אמריקאי,32.26455062,34.87853558
אבן יהודה,מגרש טניס,בית ספר אמריקאי,,השומרון,65,בית הספר האמריקאי,09-8901025,2006,בית ספר אמריקאי,32.26455062,34.87853558
אבן יהודה,מגרש כדורגל – 45X90 מ',בית ספר אמריקאי,,השומרון,65,בית הספר האמריקאי,09-8901025,2006,בית ספר אמריקאי,32.26455062,34.87853558
אבן יהודה,מגרש ספורט משולב – 43X32 מ',בית ספר אמריקאי,,השומרון,65,בית הספר האמריקאי,09-8901025,2006,בית ספר אמריקאי,32.26455062,34.87853558
אבן יהודה,בריכת שחיה - 25X12.5 מ',בריכת שחיה,,השומרון,45,מועצת אבן יהודה,09-8999758,1970,,32.26411224,34.88341919
אבן יהודה,בריכת שחיה - 20X50 מ',בריכת שחיה,כפר הנוער הדסים,,,ויצו הדסים,09-8999252,1944,תיכון הדסים,32.28648843,34.88832976
אבן יהודה,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מתחם ספורט חדש,,השרון,57,מתנ''ס אבן יהודה,09-8910070,2009,,32.2664514,34.88128827
אבן יהודה,מגרש טניס,מתחם ספורט חדש,,השרון,57,מתנ''ס אבן יהודה,09-8910070,2009,,32.2664514,34.88128827
אבן יהודה,מגרש ספורט משולב – 43X32 מ',מתחם ספורט חדש,,השרון,57,מתנ''ס אבן יהודה,09-8910070,2009,,32.2664514,34.88128827
אבן יהודה,מגרש כדורגל - לא תקני,מתנ''ס,,שבזי,1,מתנ''ס אבן יהודה,09-8910070,2008,,32.28016408,34.88357495
אבן יהודה,מגרש ספורט משולב – 43X32 מ',מתנ''ס,,שבזי,1,מתנ''ס אבן יהודה,09-8910070,2008,,32.28016408,34.88357495
אופקים,אולם ספורט גדול - 45X24 מ',אולם ספורט,הרצל 72,,,עיריית אופקים-מתנ'ס,050-6770813,1972,הדסים,31.30587936,34.61875281
אופקים,אולם ספורט גדול - 45X24 מ',אולם ספורט,גולומב 11,,,עיריית אופקים-מתנ'ס,050-6770813,2000,הגבעה,31.31354519,34.61870538
אופקים,אולם ספורט גדול - 45X24 מ',אולם ספורט בית ספרי אשלים 400 מ',הנשיא,,,עיריית אופקים,050-6770813,1985,,31.32029954,34.61656243
אופקים,אולם ספורט גדול - 45X24 מ',אולם ספורט בית ספרי הדסים 400 מ',עמרם בין דויד,,,עיריית אופקים,050-6770813,1975,,31.30680032,34.62294878
אופקים,אולם ספורט גדול - 45X24 מ',אולם ספורט בית ספרי שושנים 400מ',עמרם בין דויד,,,עיריית אופקים,050-6770813,1975,,31.30680032,34.62294878
אופקים,"אצטדיון/מסלול אתלטיקה קלה – תקני 8 מסלולים, 400 מ'",איצטדיון,שפירה,הרב דוד בוזגלו 2,,עיריית אופקים-מתנ'ס,08-9926605,,"בתי ספר תיכוניים, עמ'ל ואולפנה",31.30502498,34.62926207
אופקים,בריכת שחיה - 25X12.5 מ',בריכה 400מ' אמבטיה 35 מ',יעקוב מסיקה 6,,,עיריית אופקים,050-6770813,1965,,31.31757949,34.61342773
אופקים,מכון לכושר גופני,חדר כושר 300 מ',כצנלסון,,,עיריית אופקים,050-6770813,1985,,31.31354519,34.61870538
אופקים,מתקן פתוח לכושר גופני,כושר,מישור הגפן,האורן,20,עיריית אופקים,050677081,2017,כן,31.30909013,34.61286098
אופקים,מתקן פתוח לכושר גופני,כושר,הטייסים,הטייסים,,עיריית אופקים,089960251,2017,כן,31.3038197,34.62797742
אופקים,מגרש כדורסל – 19X32 מ',מגרש כדורסל,אבוחצירה 30,,,עיריית אופקים-מתנ'ס,08-9928537,2002,,31.31488838,34.61659605
אופקים,מגרש כדורסל – 19X32 מ',מגרש כדורסל,קרית ספר3,,,עיריית אופקים-מתנ'ס,050-8258004,2007,,31.30140337,34.626133
אופקים,מגרש כדורסל – 19X32 מ',מגרש כדורסל,בוזגלו 29,,,עיריית אופקים-מתנ'ס,050-8258004,2007,,31.30952487,34.62713383
אופקים,מגרש כדורסל – 19X32 מ',מגרש כדורסל,הרצל 93,,,עיריית אופקים-מתנ'ס,050-825004,2007,"אביר יעקב, בן גוריון",31.30588415,34.61980319
אופקים,מגרש כדורסל – 19X32 מ',מגרש כדורסל,צ'הל,,,עיריית אופקים-מתנ'ס,050-8258004,2007,,31.31129053,34.61871933
אופקים,מגרש כדורסל – 19X32 מ',מגרש כדורסל 500 מ',מישור הגפן,האורן 18,,עיריית אופקים-מתנ'ס,050-6770813,1996,,31.30946274,34.61347841
אופקים,מגרש כדורסל – 19X32 מ',מגרש כדורסל פתוח בית ספרי אביר יעקוב,קריית מנחם,המייסדים 1,,עיריית אופקים,050-6770813,2008,,31.30675716,34.61349531
אופקים,מגרש כדורסל – 19X32 מ',מגרש כדורסל פתוח בית ספרי בן-גוריון,קריית מנחם,המייסדים 5,,עיריית אופקים,050-6770813,2008,,31.30675716,34.61349531
אופקים,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מגרש מיני כדורגל,הרצל 72,,,מתנ'ס,08-9926605,1997,,31.30587936,34.61875281
אופקים,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מגרש קט רגל 2000מ',יעקוב מסיקה 6,חורי,,עיריית אופקים-מתנ'ס,050-6770813,,אשלים,31.3175698,34.61132672
אופקים,מתקן פתוח לכושר גופני,מכשירי כושר שצ'פ שפירא,שפירא,שמואל הרואה,5,עיריית אופקים,089960251,2017,כן,31.30128726,34.62638579
אופקים,מגרש טניס,מרכז הטניס,הרצל 74,,,מרכז הטניס הארצי,08-9926301,,,31.30587457,34.61770244
אופקים,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),פארק מוטורי,החידה 18,,,ביה'ס הדסים,08-9921112,1992,,31.3086088,34.62398811
אופקים,מגרש מיני פיץ',קט רגל,קבוץ גלויות,אשלים,11,בית ספר אשלים,050-6770813,2003,,31.31938804,34.61446698
אור יהודה,אולם ספורט קטן – 15x24 מ',אולם שיזף,נווה סביון,שיזף,3,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-5331808,,שיזף,32.03288816,34.85695816
אור יהודה,מגרש כדורסל – 19X32 מ',בי'ס ארזים,מרכז,מנחם בגין,59,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-5333562,,ארזים,32.02790999,34.8568711
אור יהודה,מגרש כדורסל – 19X32 מ',בי'ס הדרים,מרכז,לו סקלאר,1,בי'ס יסודי הדרים,03-5334710,,הדרים,32.0270008,34.85418577
אור יהודה,מגרש ספורט משולב – 43X32 מ',בי'ס הפרדס,מרכז,מנחם בגין,99,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-5334101,,"ארזים , הפרדס",32.02635137,34.85741685
אור יהודה,מגרש כדורסל – 19X32 מ',בי'ס פרקאוף,גיורא,יקותיאל אדם,17,תיכון פרקאוף,03-5330469,,פרקאוף,32.02571768,34.85983275
אור יהודה,מגרש ספורט משולב – 43X32 מ',בי'ס פרקאוף,גיורא,יקותיאל אדם,17,תיכון פרקאוף,03-5330469,,,32.03255925,34.86201967
אור יהודה,בריכת שחיה - 25X12.5 מ',בריכת אור יהודה,מרכז,לו סקלאר,1,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-6346941,,,32.02671471,34.85508664
אור יהודה,אולם ספורט גדול - 45X24 מ',היכל הספורט,מרכז,רחוב מנחם בגין,81,מרכז קהילתי ע'ש פירסט ופרלמן בע'מ,03-7353565,,חט'ב ארזים והפרדס,32.0268784,34.85558354
